STUDENT_ID,CLASSIFICATION,PRIMARY_COLLEGE,SECONDARY_COLLEGE,HC_OR_COE,USAGE_OVER_LAST_90_DAYS
934073768,Graduate,College of Engineering,N/A,COE,5
934077348,Graduate,College of Engineering,College of Business,COE,0
934078457,Sophomore,College of Engineering,N/A,Both,0
934079989,Senior,College of Engineering,N/A,COE,5
934080235,Graduate,College of Engineering,N/A,COE,2
934080258,Junior,College of Engineering,N/A,COE,0
934080859,Senior,College of Engineering,N/A,COE,4
934080865,Senior,College of Engineering,N/A,COE,0
934082161,Junior,College of Engineering,N/A,COE,0
934083659,Senior,College of Engineering,N/A,COE,5
934086056,Sophomore,College of Engineering,College of Business,COE,7
934089155,Senior,College of Engineering,N/A,COE,3
934089263,Junior,College of Engineering,N/A,COE,0
934091253,Senior,College of Liberal Arts,N/A,HC,0
934092298,Graduate,College of Engineering,N/A,COE,3
934092667,Senior,College of Engineering,College of Liberal Arts,COE,0
934093456,Senior,College of Engineering,N/A,Both,0
934094107,Sophomore,College of Engineering,N/A,COE,0
934097568,Sophomore,College of Engineering,N/A,COE,1
934100192,Senior,College of Engineering,College of Science,Both,0
934100428,Graduate,College of Engineering,N/A,COE,6
934100804,Senior,College of Engineering,N/A,COE,0
934103486,Senior,College of Engineering,N/A,COE,2
934103517,Graduate,College of Engineering,N/A,COE,1
934103647,Senior,College of Engineering,N/A,COE,14
934106021,Senior,College of Engineering,N/A,COE,0
934107234,Sophomore,College of Engineering,N/A,COE,1
934107828,Junior,College of Engineering,N/A,COE,5
934108606,Senior,College of Engineering,N/A,Both,1
934108611,Graduate,College of Engineering,N/A,COE,0
934109588,Senior,College of Science,N/A,HC,0
934110676,Graduate,College of Engineering,N/A,COE,1
934112181,Sophomore,College of Engineering,N/A,COE,0
934112527,Graduate,College of Engineering,N/A,COE,0
934114836,Junior,College of Engineering,N/A,COE,1
934114996,Junior,College of Engineering,N/A,COE,0
934116057,Sophomore,College of Engineering,N/A,COE,9
934117352,Senior,College of Engineering,N/A,Both,0
934119891,Junior,College of Engineering,N/A,COE,0
934120873,Senior,College of Engineering,N/A,Both,0
934120993,Junior,College of Engineering,N/A,COE,6
934122484,Senior,College of Science,N/A,HC,0
934126683,Senior,College of Engineering,N/A,COE,2
934128464,Sophomore,College of Engineering,N/A,COE,0
934130979,Junior,College of Engineering,N/A,COE,0
934131380,Junior,College of Engineering,N/A,COE,1
934137459,Senior,College of Engineering,N/A,COE,1
934139638,Sophomore,College of Engineering,N/A,COE,15
934140983,Senior,College of Engineering,N/A,COE,0
934141368,Graduate,College of Engineering,N/A,COE,0
934141850,Junior,College of Engineering,N/A,COE,7
934141955,Graduate,College of Engineering,N/A,COE,0
934143745,Graduate,College of Engineering,N/A,COE,3
934144589,Senior,College of Engineering,N/A,COE,2
934146405,Junior,College of Engineering,N/A,COE,0
934221009,Graduate,College of Engineering,N/A,COE,0
934223156,Junior,College of Engineering,N/A,COE,0
934228725,Senior,College of Engineering,N/A,COE,0
934231077,Junior,College of Engineering,N/A,COE,17
934254715,Senior,College of Engineering,N/A,COE,0
934257615,Senior,College of Engineering,N/A,COE,0
934261527,Senior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934261531,Junior,College of Business,N/A,HC,0
934261584,Junior,College of Engineering,N/A,COE,2
934262659,Junior,College of Engineering,N/A,Both,1
934262889,Senior,College of Engineering,N/A,COE,7
934263354,Senior,College of Engineering,N/A,Both,5
934267644,Junior,College of Engineering,N/A,COE,7
934268176,Senior,College of Engineering,N/A,COE,4
934268526,Senior,College of Engineering,N/A,COE,7
